Acton Town;ACT
Archway;ACY
Angel;AGL
Aldgate;ALD
Aldgate East;ALE
Alperton;ALP
Amersham;AME
Arnos Grove;ASG
Arsenal;ASL
Barbican;BAB
Barons Court;BAC
Barking;BAG
Bank;BAN
Barkingside;BAR
Baker Street;BAS
Bayswater;BAY
Bromley By Bow;BBB
Bounds Green;BDS
Becontree;BEC
Bethnal Green;BEG
Blackfriars;BLA
Balham;BLM
Blackhorse Road;BLR
Bermondsey;BMY
Borough;BOG
Bow Road;BOR
Bond Street;BOS
Boston Manor;BOM
Brixton;BRI
Burnt Oak;BTK
Brent Cross;BTX
Buckhurst Hill;BUH
Belsize Park;BZP
Caledonian Road;CAD
Chalfont & Latimer;CAL
Cannon Street;CAS
Chalk Farm;CFM
Covent Garden;CGN
Canning Town;CGT
Charing Cross;CHC
Chesham;CHE
Chigwell;CHI
Chancery Lane;CHL
Chorleywood;CHO
Chiswick Park;CHP
Cockfosters;CKS
Colindale;CND
Clapham Common;CPC
Canons Park;CPK
Clapham North;CPN
Clapham South;CPS
Croxley;CRO
Colliers Wood;CSD
Camden Town;CTN
Canada Water;CWR
Canary Wharf;CYF
Dagenham East;DAE
Dagenham Heathway;DAH
Debden;DEB
Dollis Hill;DOH
East Acton;EAA
Ealing Broadway;EAB
Earl's Court;EAC
East Ham;EAH
East Putney;EAP
Eastcote;EAS
Ealing Common;ECO
Edgware Road;EDR
East Finchley;EFY
Edgware;EGW
Elephant & Castle;ELC
Elm Park;ELP
Embankment;EMB
Epping;EPP
Euston Square;ESQ
Euston;EUS
Fairlop;FAI
Farringdon;FAR
Finsbury Park;FIP
Finchley Road;FIR
Fulham Broadway;FUB
Finchley Central;FYC
Gants Hill;GAH
Goodge Street;GDG
Golders Green;GGN
Gloucester Road;GLR
Goldhawk Road;GOR
Great Portland Street;GPS
Greenford;GRE
Grange Hill;GRH
Green Park;GRP
Gunnersbury;GUN
Hainault;HAI
Hanger Lane;HAL
Hammersmith;HAM
Harrow & Wealdstone;HAW
High Barnet;HBT
Hendon Central;HCL
Highgate;HGT
Highbury & Islington;HII
Hillingdon;HIL
Heathrow Terminal 4;HIV
Hatton Cross;HNX
Harrow On The Hill;HOH
Holborn;HOL
Holland Park;HOP
Hornchurch;HOR
Hyde Park Corner;HPC
Heathrow Airport Terminals 1, 2 & 3;HRC
Heathrow Terminal 5;HRV
High Street Kensington;HSK
Harlesden;HSN
Hampstead;HTD
Hounslow Central;HWC
Hounslow East;HWE
Hounslow West;HWW
Holloway Road;HWY
Ickenham;ICK
Kilburn;KBN
Kingsbury;KBY
King's Cross;KIC
Kilburn Park;KIP
Knightsbridge;KNB
Kennington;KNG
Kenton;KNT
Kentish Town;KSH
Kensal Green;KSL
Kew Gardens;KWG
Ladbroke Grove;LAD
Lancaster Gate;LAG
Lambeth North;LAN
Latimer Road;LAR
Leytonstone;LES
Leyton;LEY
Liverpool Street;LIS
London Bridge;LNB
Loughton;LOU
Leicester Square;LSQ
Marble Arch;MAA
Mansion House;MAH
